division,school,nickname,logo
FBS,Rutgers,Scarlet Knights,https://footballpedia.s3.amazonaws.com/logo/Division+1/Rutgers_Scarlet_Knights.png
FBS,Wisconsin,Badgers,https://s3.amazonaws.com/footballpedia/logo/Division+1/Wisconsin_Badgers.png
FBS,Alabama-Birmingham,Blazers,https://footballpedia.s3.amazonaws.com/logo/Division+1/Alabama-Birmingham_Blazers.png
FBS,Charlotte,49ers,https://footballpedia.s3.amazonaws.com/logo/Division+1/Charlotte_49ers.png
FBS,Florida Atlantic,Owls,https://footballpedia.s3.amazonaws.com/logo/Division+1/Florida_Atlantic_Owls.png
FBS,Florida International,Golden Panthers,https://footballpedia.s3.amazonaws.com/logo/Division+1/Florida_International_Golden_Panthers.png
FBS,Louisiana Tech,Bulldogs,https://footballpedia.s3.amazonaws.com/logo/Division+1/Louisiana_Tech_Bulldogs.png
FBS,Marshall,Thundering Herd,https://footballpedia.s3.amazonaws.com/logo/Division+1/Marshall_Thundering_Herd.png
FBS,Middle Tennessee State,Blue Raiders,https://s3.amazonaws.com/footballpedia/logo/Division+1/Middle_Tennessee_Blue_Raiders.png
FBS,North Texas,Mean Green,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/North_Texas_Mean_Green_logo.svg/800px-North_Texas_Mean_Green_logo.svg.png
FBS,Old Dominion,Monarchs,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Old_Dominion_Athletics_logo.svg/1024px-Old_Dominion_Athletics_logo.svg.png
FBS,Rice,Owls,https://footballpedia.s3.amazonaws.com/logo/Division+1/Rice_Owls.png
FBS,Southern Mississippi,Golden Eagles,https://footballpedia.s3.amazonaws.com/logo/Division+1/Southern_Mississippi_Golden_Eagles.png
FBS,Texas-El Paso,Miners,https://footballpedia.s3.amazonaws.com/logo/Division+1/Texas-El_Paso_Miners.png
FBS,Texas-San Antonio,Roadrunners,https://s3.amazonaws.com/footballpedia/logo/Division+1/UTSA_Roadrunners.png
FBS,Western Kentucky,Hilltoppers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/WKU_Athletics_logo.svg/1280px-WKU_Athletics_logo.svg.png
FCS,Albany,Great Danes,http://content.sportslogos.net/logos/30/818/thumbs/81878742008.gif
FCS,Delaware,Fightin' Blue Hens,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Delaware_Football_wordmark.svg/1024px-Delaware_Football_wordmark.svg.png
FCS,Elon,Phoenix,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Elon_Phoenix_logo.svg/1280px-Elon_Phoenix_logo.svg.png
FCS,James Madison,Dukes,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/James_Madison_University_Athletics_logo.svg/1024px-James_Madison_University_Athletics_logo.svg.png
FCS,Maine,Black Bears,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Maine_Black_Bears_logo.svg/1280px-Maine_Black_Bears_logo.svg.png
FCS,New Hampshire,Wildcats,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/New_Hampshire_Wildcats_logo.svg/1024px-New_Hampshire_Wildcats_logo.svg.png
